,time,trial,time_penalty,gameState,bad_trials,gold_id,gold_x,gold_z
0,719099,1,0,Encoding,,amethystTorus0003,22.0383186,7.52279949
1,955778,3,0,Encoding,,amethystTorus0011,21.56084,6.612216
2,1069927,4,0,Encoding,,amethystTorus0014,13.5127277,9.176481
3,1293324,6,0,Encoding,,amethystTorus0023,20.3618679,14.8960819
4,1515321,8,0,Encoding,,amethystTorus0028,14.4150515,11.25116
5,1853164,11,0,Encoding,,amethystTorus0040,13.7163887,9.778777999999999
6,1959297,12,0,Encoding,,amethystTorus0047,19.7628059,24.5131454
7,2080046,13,0,Encoding,,amethystTorus0048,6.653199,20.36141
8,2865802,20,0,Encoding,,amethystTorus0076,24.9674416,16.7840462
9,3209263,23,0,Encoding,,amethystTorus0089,10.3003988,12.5954742
10,3315362,24,0,Encoding,,amethystTorus0094,2.94575429,17.3882618
11,3679539,27,0,Encoding,,amethystTorus0107,20.1491566,17.3951073
12,4117000,31,0,Encoding,,amethystTorus0122,12.75894,16.19549
13,4225930,32,0,Encoding,,amethystTorus0127,23.8323135,26.2852211
14,4442695,34,0,Encoding,,amethystTorus0133,4.84798,8.598746
15,4548794,35,0,Encoding,,amethystTorus0138,2.20774031,23.3477974
16,4654908,36,0,Encoding,,amethystTorus0141,22.746048,7.24529743
17,719099,1,0,Encoding,,citrineGeo0000,4.14878,17.4925423
18,955778,3,0,Encoding,,citrineGeo0010,19.1184769,20.2599239
19,1180492,5,0,Encoding,,citrineGeo0017,24.3466,19.095705
20,1404504,7,0,Encoding,,citrineGeo0027,2.15097618,10.7057848
21,2080046,13,0,Encoding,,citrineGeo0049,23.2252464,11.3345613
22,2187428,14,0,Encoding,,citrineGeo0053,16.6887455,13.7535381
23,2414825,16,0,Encoding,,citrineGeo0060,18.306661599999998,13.6311684
24,2646103,18,0,Encoding,,citrineGeo0071,14.1663265,25.7776279
25,2752986,19,0,Encoding,,citrineGeo0072,4.814368,20.3570557
26,2865802,20,0,Encoding,,citrineGeo0078,24.7982235,6.0783577
27,3096764,22,0,Encoding,,citrineGeo0085,14.5946741,13.0574722
28,3315362,24,0,Encoding,,citrineGeo0092,13.93106,6.02503443
29,3459275,25,0,Encoding,,citrineGeo0098,1.210998,4.600379
30,3899687,29,0,Encoding,,citrineGeo0114,1.87751627,23.8136635
31,4548794,35,0,Encoding,,citrineGeo0136,5.379943,19.1234112
32,841597,2,0,Encoding,,diamondRound0007,20.2890415,10.2640991
33,1069927,4,0,Encoding,,diamondRound0013,1.98325539,3.7930349999999997
34,1293324,6,0,Encoding,,diamondRound0022,7.6695056,11.7101841
35,1515321,8,0,Encoding,,diamondRound0030,13.7046947,15.1060629
36,1740017,10,0,Encoding,,diamondRound0039,0.8141480680000001,1.83042741
37,1959297,12,0,Encoding,,diamondRound0044,7.68350029,8.903266
38,2187428,14,0,Encoding,,diamondRound0054,2.122977,3.37194872
39,2301259,15,0,Encoding,,diamondRound0058,1.59526634,10.3648872
40,2530323,17,0,Encoding,,diamondRound0065,3.42557144,15.7852564
41,2646103,18,0,Encoding,,diamondRound0068,13.6985636,12.0039177
42,2752986,19,0,Encoding,,diamondRound0073,0.9515425999999999,8.349517
43,3096764,22,0,Encoding,,diamondRound0084,21.10456,1.5470091099999999
44,3459275,25,0,Encoding,,diamondRound0099,1.4127527500000001,21.92245
45,3565392,26,0,Encoding,,diamondRound0101,3.26571083,1.00342727
46,3785670,28,0,Encoding,,diamondRound0111,15.4314661,13.885519
47,4009133,30,0,Encoding,,diamondRound0117,1.59901607,4.287079
48,4117000,31,0,Encoding,,diamondRound0121,7.416745,7.84333849
49,4336579,33,0,Encoding,,diamondRound0129,20.7743511,10.7180862
50,4442695,34,0,Encoding,,diamondRound0132,9.424832,25.8484077
51,4654908,36,0,Encoding,,diamondRound0140,13.8589582,6.25781345
52,841597,2,0,Encoding,,emeraldRectangle0005,22.2546635,10.2502775
53,1069927,4,0,Encoding,,emeraldRectangle0015,1.22381473,8.788373
54,1293324,6,0,Encoding,,emeraldRectangle0020,5.26055956,8.324987
55,1515321,8,0,Encoding,,emeraldRectangle0031,5.061106,20.3560734
56,1633885,9,0,Encoding,,emeraldRectangle0035,13.6949587,26.2252064
57,1740017,10,0,Encoding,,emeraldRectangle0036,25.8478966,23.9320278
58,1959297,12,0,Encoding,,emeraldRectangle0046,0.743546963,9.706686
59,2080046,13,0,Encoding,,emeraldRectangle0050,22.0052853,1.204712
60,2187428,14,0,Encoding,,emeraldRectangle0052,8.857249,13.2718925
61,2984649,21,0,Encoding,,emeraldRectangle0082,9.852945,24.7883911
62,3096764,22,0,Encoding,,emeraldRectangle0086,23.9801064,25.0230274
63,3315362,24,0,Encoding,,emeraldRectangle0093,22.17156,1.35323668
64,3459275,25,0,Encoding,,emeraldRectangle0096,7.605313,17.9760933
65,3565392,26,0,Encoding,,emeraldRectangle0102,19.9105186,8.20480251
66,3679539,27,0,Encoding,,emeraldRectangle0105,1.37607944,23.9834766
67,3785670,28,0,Encoding,,emeraldRectangle0110,2.42596149,4.15275145
68,3899687,29,0,Encoding,,emeraldRectangle0115,2.42086959,15.7472219
69,4009133,30,0,Encoding,,emeraldRectangle0116,25.3515778,16.4718533
70,4117000,31,0,Encoding,,emeraldRectangle0120,22.223381,1.75604761
71,4225930,32,0,Encoding,,emeraldRectangle0126,0.994952559,8.065326
72,841597,2,0,Encoding,,goldDeposit0004,20.4820061,7.04538059
73,955778,3,0,Encoding,,goldDeposit0009,0.7318214,24.8277931
74,1069927,4,0,Encoding,,goldDeposit0012,10.2115507,24.5529785
75,1180492,5,0,Encoding,,goldDeposit0019,5.48159742,8.14718
76,1404504,7,0,Encoding,,goldDeposit0025,1.9311068100000002,6.82834673
77,1515321,8,0,Encoding,,goldDeposit0029,12.8200874,15.5239058
78,1853164,11,0,Encoding,,goldDeposit0042,0.6020937,26.0452347
79,2414825,16,0,Encoding,,goldDeposit0061,8.359826,10.3455915
80,2530323,17,0,Encoding,,goldDeposit0064,3.07977247,7.839193
81,2752986,19,0,Encoding,,goldDeposit0074,19.79476,9.403715
82,2984649,21,0,Encoding,,goldDeposit0080,13.0364161,22.6583748
83,3679539,27,0,Encoding,,goldDeposit0104,5.718854,1.19501746
84,3785670,28,0,Encoding,,goldDeposit0108,19.29794,13.3462591
85,4009133,30,0,Encoding,,goldDeposit0119,24.9560413,26.0491467
86,4442695,34,0,Encoding,,goldDeposit0135,2.7086587,16.860424
87,719099,1,0,Encoding,,rubyHeart0002,19.93286,13.12667
88,1180492,5,0,Encoding,,rubyHeart0018,1.153764,10.9146881
89,1404504,7,0,Encoding,,rubyHeart0024,22.1978474,0.650508642
90,1633885,9,0,Encoding,,rubyHeart0032,8.47522449,9.455364
91,1853164,11,0,Encoding,,rubyHeart0043,25.4584751,22.3375778
92,2080046,13,0,Encoding,,rubyHeart0051,25.10585,7.11920357
93,2301259,15,0,Encoding,,rubyHeart0059,23.97577,8.349597
94,2414825,16,0,Encoding,,rubyHeart0063,7.21052,20.12403
95,2646103,18,0,Encoding,,rubyHeart0069,24.4985027,11.4546452
96,2865802,20,0,Encoding,,rubyHeart0079,14.1096106,21.1631565
97,2984649,21,0,Encoding,,rubyHeart0081,26.2632484,22.1988487
98,3209263,23,0,Encoding,,rubyHeart0088,25.4623222,15.5940008
99,3459275,25,0,Encoding,,rubyHeart0097,13.9684114,17.0924931
100,3565392,26,0,Encoding,,rubyHeart0100,5.54392338,24.9594879
101,3899687,29,0,Encoding,,rubyHeart0112,7.54087257,25.26206
102,4336579,33,0,Encoding,,rubyHeart0128,16.9092655,12.6800861
103,4654908,36,0,Encoding,,rubyHeart0142,25.115139,8.218974
104,719099,1,0,Encoding,,saphireTeardrop0001,0.5610527,21.0408478
105,955778,3,0,Encoding,,saphireTeardrop0008,4.82103348,8.75307751
106,1293324,6,0,Encoding,,saphireTeardrop0021,25.677763,24.2330132
107,1404504,7,0,Encoding,,saphireTeardrop0026,25.8174229,1.52184892
108,1633885,9,0,Encoding,,saphireTeardrop0033,6.26406765,11.4239073
109,1740017,10,0,Encoding,,saphireTeardrop0038,25.30625,9.658417
110,1853164,11,0,Encoding,,saphireTeardrop0041,6.048801,17.2688313
111,1959297,12,0,Encoding,,saphireTeardrop0045,5.725095,26.1114368
112,2187428,14,0,Encoding,,saphireTeardrop0055,13.9336958,10.4578323
113,2301259,15,0,Encoding,,saphireTeardrop0057,5.57544327,7.885693
114,2414825,16,0,Encoding,,saphireTeardrop0062,22.8592415,1.27940083
115,2530323,17,0,Encoding,,saphireTeardrop0067,18.6483631,10.8762217
116,2984649,21,0,Encoding,,saphireTeardrop0083,24.4999542,8.32827
117,3096764,22,0,Encoding,,saphireTeardrop0087,0.5951961,20.3338718
118,3209263,23,0,Encoding,,saphireTeardrop0090,24.9612656,2.51833344
119,3315362,24,0,Encoding,,saphireTeardrop0095,6.86251926,14.2403011
120,3679539,27,0,Encoding,,saphireTeardrop0106,20.8848362,25.2459221
121,4009133,30,0,Encoding,,saphireTeardrop0118,2.328948,3.52012587
122,4117000,31,0,Encoding,,saphireTeardrop0123,2.41027379,0.8005332
123,4225930,32,0,Encoding,,saphireTeardrop0125,19.4188728,10.5696259
124,4336579,33,0,Encoding,,saphireTeardrop0130,7.862818,9.89775848
125,4442695,34,0,Encoding,,saphireTeardrop0134,4.208846,26.2841072
126,4548794,35,0,Encoding,,saphireTeardrop0137,6.18222332,20.4391346
127,4654908,36,0,Encoding,,saphireTeardrop0143,13.0038824,26.1741714
128,841597,2,0,Encoding,,yellowMoon0006,25.0449238,1.70740736
129,1180492,5,0,Encoding,,yellowMoon0016,8.368829,24.5838642
130,1633885,9,0,Encoding,,yellowMoon0034,11.5544653,25.0891418
131,1740017,10,0,Encoding,,yellowMoon0037,13.3812141,12.794721599999999
132,2301259,15,0,Encoding,,yellowMoon0056,24.768362,15.8127823
133,2530323,17,0,Encoding,,yellowMoon0066,21.03275,7.265311
134,2646103,18,0,Encoding,,yellowMoon0070,13.96529,8.080566
135,2752986,19,0,Encoding,,yellowMoon0075,13.711071,25.664669
136,2865802,20,0,Encoding,,yellowMoon0077,7.898677,20.2104874
137,3209263,23,0,Encoding,,yellowMoon0091,26.2236614,21.2081947
138,3565392,26,0,Encoding,,yellowMoon0103,20.2510681,14.0415907
139,3785670,28,0,Encoding,,yellowMoon0109,14.2164021,15.1686592
140,3899687,29,0,Encoding,,yellowMoon0113,7.897396,12.349507299999999
141,4225930,32,0,Encoding,,yellowMoon0124,24.77724,3.23496938
142,4336579,33,0,Encoding,,yellowMoon0131,7.08427143,6.766195
143,4548794,35,0,Encoding,,yellowMoon0139,6.602309,12.5423431
